NOPOL,KDMBL,STATUS,MERK,TAHUN,UMUR,JENIS,DEPT
T8207AK,PWK661,AKTIF,HINO,2015,11,DOUBLE,MRBREAD
T8582AJ,PWK653,AKTIF,HINO,2015,11,DOUBLE,MRBREAD
T8771AJ,PWK654,AKTIF,HINO,2015,11,DOUBLE,MRBREAD
T8204AK,PWK658,AKTIF,HINO,2015,11,DOUBLE,MRBREAD
B9203UCP,PWK401,AKTIF,MITSUBISHI,2015,11,L300,YUMMY CHOICE
T8773AJ,PWK655,AKTIF,HINO,2015,11,DOUBLE,MRBREAD
T8224AJ,PWK096,AKTIF,MITSUBISHI,2015,11,DOUBLE,DELIVERY
T8229AJ,PWK099,AKTIF,MITSUBISHI,2015,11,DOUBLE,DELIVERY
T8206AK,PWK660,AKTIF,HINO,2014,12,DOUBLE,MRBREAD
B9739FCC,PWK104,AKTIF,HINO,2014,12,ENGKEL,DELIVERY
B9740FCC,PWK105,AKTIF,HINO,2014,12,ENGKEL,DELIVERY
B9743FCC,PWK108,AKTIF,HINO,2014,12,ENGKEL,DELIVERY
B9707FCC,PWK046,AKTIF,HINO,2014,12,ENGKEL,DELIVERY
B9713FCC,PWK510,AKTIF,HINO,2014,12,ENGKEL,PERISHABLE - BUAH
F8756GP,PWK047,AKTIF,MITSUBISHI,2014,12,L300,DELIVERY
B9673FCC,PWK610,AKTIF,HINO,2014,12,ENGKEL,PERISHABLE - ROTI
F8403GM,PWK612,AKTIF,HINO,2014,12,ENGKEL,PERISHABLE - ROTI
D8969DM,PWK035,P3AT,HINO,2010,16,ENGKEL,DELIVERY
B9709FCC,PWK048,AKTIF,HINO,2014,12,ENGKEL,DELIVERY
T8909AO,PWK092,AKTIF,HINO,2014,12,DOUBLE,DELIVERY
F8401GM,PWK614,AKTIF,HINO,2014,12,ENGKEL,PERISHABLE - ROTI
B9738FCC,PWK103,AKTIF,HINO,2014,12,ENGKEL,DELIVERY
B9710FCC,PWK049,AKTIF,HINO,2014,12,ENGKEL,DELIVERY
B9706FCC,PWK511,AKTIF,HINO,2014,12,ENGKEL,PERISHABLE - BUAH
B9711FCC,PWK050,AKTIF,HINO,2014,12,ENGKEL,DELIVERY
B9712FCC,PWK101,AKTIF,HINO,2014,12,ENGKEL,DELIVERY
D8869DH,PWK081,P3AT,HINO,2009,17,DOUBLE,DELIVERY
B9358FCD,PWK122,AKTIF,MITSUBISHI,2014,12,L300,DELIVERY
B9672FCC,PWK608,AKTIF,HINO,2014,12,ENGKEL,PERISHABLE - ROTI
B9714FCC,PWK102,AKTIF,HINO,2014,12,ENGKEL,DELIVERY
B9742FCC,PWK107,AKTIF,HINO,2014,12,ENGKEL,DELIVERY
B9674FCC,PWK609,AKTIF,HINO,2014,12,ENGKEL,PERISHABLE - ROTI
E8045KN,PWK606,AKTIF,HINO,2013,13,DOUBLE,PERISHABLE - ROTI
F8655GK,PWK624,AKTIF,HINO,2013,13,ENGKEL,PERISHABLE - ROTI
B9519FCA,PWK605,P3AT,HINO,2010,16,ENGKEL,PERISHABLE - ROTI
D8853EE,PWK045,AKTIF,MITSUBISHI,2013,13,ENGKEL,DELIVERY
B9487FCC,PWK007,AKTIF,HINO,2013,13,ENGKEL,DELIVERY
B9689FCC,PWK082,AKTIF,MITSUBISHI,2013,13,DOUBLE,DELIVERY
D8858EE,PWK509,AKTIF,MITSUBISHI,2013,13,DOUBLE,PERISHABLE - BUAH
D8840EE,PWK617,AKTIF,MITSUBISHI,2013,13,DOUBLE,PERISHABLE - ROTI
F8654GK,PWK625,AKTIF,HINO,2013,13,ENGKEL,PERISHABLE - ROTI
B9483FCC,PWK003,AKTIF,HINO,2013,13,ENGKEL,DELIVERY
T8908AO,PWK093,AKTIF,HINO,2013,13,DOUBLE,DELIVERY
T8907AO,PWK095,AKTIF,HINO,2013,13,DOUBLE,DELIVERY
B9480FCC,PWK001,AKTIF,HINO,2013,13,ENGKEL,DELIVERY
B9482FCC,PWK008,AKTIF,HINO,2013,13,ENGKEL,DELIVERY
B9544FCC,PWK501,AKTIF,HINO,2013,13,ENGKEL,PERISHABLE - BUAH
B9481FCC,PWK002,AKTIF,HINO,2013,13,ENGKEL,DELIVERY
B9518FCA,PWK604,P3AT,HINO,2010,16,ENGKEL,PERISHABLE - ROTI
B9484FCC,PWK004,AKTIF,HINO,2013,13,ENGKEL,DELIVERY
B9543FCC,PWK502,AKTIF,HINO,2013,13,ENGKEL,PERISHABLE - BUAH
B9606FCC,PWK009,AKTIF,HINO,2013,13,ENGKEL,DELIVERY
D8857EE,PWK044,AKTIF,MITSUBISHI,2013,13,ENGKEL,DELIVERY
B9607FCC,PWK010,AKTIF,HINO,2013,13,ENGKEL,DELIVERY
F8117MB,PWK506,AKTIF,HINO,2012,14,ENGKEL,PERISHABLE - BUAH
F8219GD,PWK623,AKTIF,HINO,2012,14,ENGKEL,PERISHABLE - ROTI
B9344FCB,PWK011,AKTIF,HINO,2012,14,ENGKEL,DELIVERY
D8120EE,PWK039,AKTIF,HINO,2012,14,ENGKEL,DELIVERY
D8117EE,PWK040,AKTIF,HINO,2012,14,ENGKEL,DELIVERY
B9338FCB,PWK025,AKTIF,HINO,2012,14,ENGKEL,DELIVERY
D8121EE,PWK037,AKTIF,HINO,2012,14,ENGKEL,DELIVERY
D8122EE,PWK613,AKTIF,HINO,2012,14,ENGKEL,PERISHABLE - ROTI
D8062EA,PWK038,AKTIF,HINO,2012,14,ENGKEL,DELIVERY
D8105EA,PWK041,AKTIF,HINO,2012,14,ENGKEL,DELIVERY
D8106EA,PWK042,AKTIF,HINO,2012,14,ENGKEL,DELIVERY
T8506AO,PWK652,AKTIF,HINO,2011,15,DOUBLE,MRBREAD
T8425AO,PWK650,AKTIF,HINO,2011,15,DOUBLE,MRBREAD
T8426AO,PWK651,AKTIF,HINO,2011,15,DOUBLE,MRBREAD
B9258FCA,PWK056,AKTIF,HINO,2010,16,DOUBLE,DELIVERY
D8773DM,PWK085,AKTIF,HINO,2010,16,DOUBLE,DELIVERY
B9082FCA,PWK611,AKTIF,HINO,2009,17,ENGKEL,PERISHABLE - ROTI
B9652UY,PWK016,AKTIF,HINO,2009,17,ENGKEL,DELIVERY
B9919UF,PWK619,P3AT,HINO,2009,17,ENGKEL,PERISHABLE - ROTI
