KDMBL,NOPOL,STATUS,MERK,TAHUN,UMUR,JENIS,DEPT,TOTAL KM TEMPUH,AKTIF / HARI,TOTAL RITASE,TOTAL TOKO,AVG TOKO,AVG RITASE
PWK105,B9740FCC,AKTIF,HINO,2014,12,ENGKEL,DELIVERY,5045,21,43,118,6,2
PWK106,T8043AN,AKTIF,HINO,2018,8,ENGKEL,DELIVERY,5544,20,50,198,10,3
PWK107,B9742FCC,AKTIF,HINO,2014,12,ENGKEL,DELIVERY,4950,20,45,95,5,2
PWK108,B9743FCC,AKTIF,HINO,2014,12,ENGKEL,DELIVERY,3420,20,29,393,20,1
PWK109,T8045AN,AKTIF,HINO,2018,8,ENGKEL,DELIVERY,4514,20,49,148,7,2
PWK110,T8365AK,AKTIF,ISUZU,2016,10,ENGKEL,DELIVERY,2355,15,27,34,2,2
PWK111,T8366AK,AKTIF,ISUZU,2016,10,ENGKEL,DELIVERY,2919,17,29,45,3,2
PWK112,T8367AK,AKTIF,ISUZU,2016,10,ENGKEL,DELIVERY,168,2,2,3,2,1
PWK113,T8368AK,AKTIF,ISUZU,2016,10,ENGKEL,DELIVERY,3460,20,34,52,3,2
PWK114,T8369AK,AKTIF,ISUZU,2016,10,ENGKEL,DELIVERY,3824,20,37,58,3,2
PWK115,T8371AK,AKTIF,ISUZU,2016,10,ENGKEL,DELIVERY,4051,20,42,50,3,2
PWK116,T8372AK,AKTIF,ISUZU,2016,10,ENGKEL,DELIVERY,0,0,0,0,-,-
PWK117,T8373AK,AKTIF,ISUZU,2016,10,ENGKEL,DELIVERY,2524,16,27,38,2,2
PWK118,T8846AK,AKTIF,MITSUBISHI,2016,10,ENGKEL,DELIVERY,1054,5,12,23,5,2
PWK119,T8848AK,AKTIF,MITSUBISHI,2016,10,ENGKEL,DELIVERY,5045,20,50,74,4,3
PWK120,T8842AK,AKTIF,MITSUBISHI,2017,9,L300,DELIVERY,5208,18,43,103,6,2
PWK121,T8911AP,AKTIF,MITSUBISHI,2022,4,L300,DELIVERY,6658,20,59,61,3,3
PWK122,B9358FCD,AKTIF,MITSUBISHI,2014,12,L300,DELIVERY,4814,18,47,47,3,3
PWK123,T8876AP,AKTIF,HINO,2022,4,ENGKEL,DELIVERY,4650,20,46,111,6,2
PWK124,T8878AP,AKTIF,HINO,2022,4,ENGKEL,DELIVERY,5174,20,52,145,7,3
PWK125,T8879AP,AKTIF,HINO,2022,4,ENGKEL,DELIVERY,5004,21,50,215,10,2
PWK131,F8440GZ,AKTIF,MITSUBISHI,2016,10,ENGKEL,DELIVERY,3637,19,32,116,6,2
PWK132,F8561GW,AKTIF,HINO,2016,10,ENGKEL,DELIVERY,4423,20,42,152,8,2
PWK133,F8534GW,AKTIF,HINO,2016,10,ENGKEL,DELIVERY,4901,19,50,74,4,3
PWK165,T8349AK,AKTIF,MITSUBISHI,2016,10,DOUBLE,DELIVERY,2455,19,31,69,4,2
PWK166,T8350AK,AKTIF,MITSUBISHI,2016,10,DOUBLE,DELIVERY,1978,16,27,61,4,2
PWK167,T8351AK,AKTIF,MITSUBISHI,2016,10,DOUBLE,DELIVERY,3215,20,37,81,4,2
PWK168,T8550AQ,AKTIF,HINO,2025,1,ENGKEL,DELIVERY,5031,21,48,170,8,2
PWK169,T8551AQ,AKTIF,HINO,2025,1,ENGKEL,DELIVERY,5614,21,58,190,9,3
PWK170,T8552AQ,AKTIF,HINO,2025,1,ENGKEL,DELIVERY,5531,20,54,101,5,3
PWK171,T8597AQ,AKTIF,MITSUBISHI,2025,1,DOUBLE,DELIVERY,4010,20,46,130,7,2
PWK172,T8610AQ,AKTIF,HINO,2025,1,ENGKEL,DELIVERY,4311,20,44,121,6,2
PWK173,T8611AQ,AKTIF,HINO,2025,1,ENGKEL,DELIVERY,5323,19,50,158,8,3
PWK174,T8707AQ,AKTIF,HINO,2025,1,DOUBLE,DELIVERY,4168,20,44,106,5,2
PWK401,B9203UCP,AKTIF,MITSUBISHI,2015,11,L300,YUMMY CHOICE,0,0,0,0,-,-
PWK402,F8570GW,AKTIF,MITSUBISHI,2016,10,L300,YUMMY CHOICE,0,0,0,0,-,-
PWK404,B9865UCP,AKTIF,MITSUBISHI,2016,10,L300,YUMMY CHOICE,0,0,0,0,-,-
PWK405,T8680AM,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE,0,0,0,0,-,-
PWK406,T8678AM,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE,0,0,0,0,-,-
PWK407,T8679AM,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE,0,0,0,0,-,-
PWK408,F8344GZ,AKTIF,MITSUBISHI,2017,9,L300,YUMMY CHOICE,0,0,0,0,-,-
PWK409,F8358GZ,AKTIF,MITSUBISHI,2017,9,L300,YUMMY CHOICE,0,0,0,0,-,-
PWK410,F8346GZ,AKTIF,MITSUBISHI,2017,9,L300,YUMMY CHOICE,49,2,2,2,1,1
PWK411,F8347GZ,AKTIF,MITSUBISHI,2017,9,L300,YUMMY CHOICE,0,0,0,0,-,-
PWK412,T8059AN,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE,0,0,0,0,-,-
PWK413,T8060AN,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE,0,0,0,0,-,-
PWK414,T8061AN,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE,0,0,0,0,-,-
PWK415,T8149AP,AKTIF,HINO,2021,5,ENGKEL,YUMMY CHOICE,45,2,2,2,1,1
PWK416,T8160AN,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE,0,0,0,0,-,-
PWK417,T8161AN,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE,23,1,1,1,1,1
PWK418,T8168AN,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE,0,0,0,0,-,-
PWK419,F8309HJ,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE,0,0,0,0,-,-
PWK422,DD8630RZ,AKTIF,HINO,2022,4,ENGKEL,YUMMY CHOICE,0,0,0,0,-,-
PWK424,E8104KX,AKTIF,MITSUBISHI,2023,3,L300,YUMMY CHOICE,0,0,0,0,-,-
PWK425,E8105KX,AKTIF,MITSUBISHI,2023,3,L300,YUMMY CHOICE,0,0,0,0,-,-
PWK426,E8110KX,AKTIF,MITSUBISHI,2023,3,L300,YUMMY CHOICE,0,0,0,0,-,-
PWK427,D8044FU,AKTIF,MITSUBISHI,2022,4,L300,YUMMY CHOICE,23,1,1,1,1,1
PWK428,F8355HJ,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE,0,0,0,0,-,-
PWK430,T8062AN,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE,23,1,1,1,1,1
PWK433,F8317HI,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE,0,0,0,0,-,-
PWK435,F8323HI,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE,0,0,0,0,-,-
PWK436,B9659JZO,AKTIF,HINO,2018,8,ENGKEL,YUMMY CHOICE,0,0,0,0,-,-
PWK437,T8519AQ,AKTIF,MITSUBISHI,2025,1,L300,YUMMY CHOICE,0,0,0,0,-,-
PWK438,T8520AQ,AKTIF,MITSUBISHI,2025,1,L300,YUMMY CHOICE,0,0,0,0,-,-
PWK439,T8136AQ,AKTIF,HINO,2023,3,ENGKEL,YUMMY CHOICE,0,0,0,0,-,-
PWK440,T8360AQ,AKTIF,HINO,2024,2,DOUBLE,YUMMY CHOICE,0,0,0,0,-,-
PWK501,B9544FCC,AKTIF,HINO,2013,13,ENGKEL,PERISHABLE - BUAH,2144,15,15,490,33,1
PWK502,B9543FCC,AKTIF,HINO,2013,13,ENGKEL,PERISHABLE - BUAH,2349,17,17,530,31,1
PWK504,T8598AL,AKTIF,HINO,2017,9,ENGKEL,PERISHABLE - BUAH,2294,16,16,531,33,1
PWK505,T8599AL,AKTIF,HINO,2017,9,ENGKEL,PERISHABLE - BUAH,1988,15,15,467,31,1
PWK506,F8117MB,AKTIF,HINO,2012,14,ENGKEL,PERISHABLE - BUAH,2093,17,18,520,31,1
PWK507,T8656AM,AKTIF,HINO,2018,8,ENGKEL,PERISHABLE - BUAH,1536,11,11,364,33,1
PWK508,T8653AN,AKTIF,HINO,2021,5,ENGKEL,PERISHABLE - BUAH,1577,14,14,436,31,1
PWK509,D8858EE,AKTIF,MITSUBISHI,2013,13,DOUBLE,PERISHABLE - BUAH,2139,13,13,442,34,1
PWK510,B9713FCC,AKTIF,HINO,2014,12,ENGKEL,PERISHABLE - BUAH,2195,13,15,420,32,1
PWK511,B9706FCC,AKTIF,HINO,2014,12,ENGKEL,PERISHABLE - BUAH,2290,15,18,501,33,1
PWK512,T8150AP,AKTIF,HINO,2021,5,ENGKEL,PERISHABLE - BUAH,2145,17,17,528,31,1
PWK513,T8069AQ,AKTIF,HINO,2023,3,ENGKEL,PERISHABLE - BUAH,2344,16,16,526,33,1
PWK514,T8070AQ,AKTIF,HINO,2023,3,ENGKEL,PERISHABLE - BUAH,2346,16,18,533,33,1
PWK517,T8361AQ,AKTIF,HINO,2024,2,DOUBLE,PERISHABLE - BUAH,2610,16,16,536,34,1
PWK601,T8251AP,AKTIF,HINO,2021,5,ENGKEL,PERISHABLE - ROTI,2945,22,22,658,30,1
PWK602,B9986FY,P3AT,HINO,2009,17,ENGKEL,PERISHABLE - ROTI,0,0,0,0,-,-
PWK603,B9693FY,P3AT,HINO,2009,17,ENGKEL,PERISHABLE - ROTI,0,0,0,0,-,-
PWK604,B9518FCA,AKTIF,HINO,2010,16,ENGKEL,PERISHABLE - ROTI,0,0,0,0,-,-
PWK605,B9519FCA,AKTIF,HINO,2010,16,ENGKEL,PERISHABLE - ROTI,0,0,0,0,-,-
PWK606,E8045KN,AKTIF,HINO,2013,13,DOUBLE,PERISHABLE - ROTI,2875,21,23,611,29,1
PWK607,B9520FCA,P3AT,HINO,2010,16,ENGKEL,PERISHABLE - ROTI,0,0,0,0,-,-
